Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	BeWo_ctr1	BeWo_ctr2	BeWo_ctr3	BeWo_KD1	BeWo_KD2	BeWo_KD3	gene_biotype	external_gene_name	description
ENSG00000213714.1	2.951686374319809	4.961745520332889	1.5980632324091044	3.104849307403802	0.001903759888273115	0.004757255156920652	10.159697714973987	0.9475405763139325	6.602879954630935	0	0	0	protein_coding	FAM209B	family with sequence similarity 209 member B [Source:HGNC Symbol;Acc:HGNC:16101]
ENSG00000234776.5	2.4009300326932363	4.670397238186852	1.6268395204071542	2.8708407802989546	0.004093816683422736	0.009572170676131343	3.0479093144921965	8.527865186825393	2.8298056948418293	0	0	0	protein_coding	C11orf94	chromosome 11 open reading frame 94 [Source:HGNC Symbol;Acc:HGNC:37213]
ENSG00000095970.17	1.9243117369584994	4.350588150196257	1.7140156339105557	2.5382429798906307	0.011141060337912696	0.02365951653817127	3.0479093144921965	1.895081152627865	6.602879954630935	0	0	0	protein_coding	TREM2	triggering receptor expressed on myeloid cells 2 [Source:HGNC Symbol;Acc:HGNC:17761]
ENSG00000136267.14	1.9015020052306773	4.3367485351977795	1.7404100154655042	2.4917970459034837	0.012709863955939402	0.026684464082726234	1.0159697714973988	3.79016230525573	6.602879954630935	0	0	0	protein_coding	DGKB	diacylglycerol kinase beta [Source:HGNC Symbol;Acc:HGNC:2850]
ENSG00000183644.14	1.621293747839985	4.100145445039083	1.8054515160045792	2.2709806431759554	0.023148149764806333	0.04575413308909276	4.063879085989595	0.9475405763139325	4.7163428247363814	0	0	0	protein_coding	HOATZ	HOATZ cilia and flagella associated protein [Source:HGNC Symbol;Acc:HGNC:25061]
ENSG00000231852.9	1.5870791502482517	4.075692815257645	1.8117847991106362	2.249545761316857	0.02447779480451871	0.048131087466704636	1.0159697714973988	3.79016230525573	4.7163428247363814	0	0	0	protein_coding	CYP21A2	cytochrome P450 family 21 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:2600]
ENSG00000147647.13	1.5870791502482517	4.075692815257645	1.8117847991106362	2.249545761316857	0.02447779480451871	0.048131087466704636	1.0159697714973988	3.79016230525573	4.7163428247363814	0	0	0	protein_coding	DPYS	dihydropyrimidinase [Source:HGNC Symbol;Acc:HGNC:3013]
ENSG00000154611.15	3.1819605928652925	4.03022749956035	1.6498158346997598	2.4428347787641327	0.014572406958218282	0.03020695971795668	16.25551634395838	0.9475405763139325	0.9432685649472764	0.9454380719721673	0	0	protein_coding	PSMA8	proteasome 20S subunit alpha 8 [Source:HGNC Symbol;Acc:HGNC:22985]
ENSG00000151640.13	2.5950369208591746	3.71473147482842	1.622180440604583	2.2899619437181404	0.022023522841782505	0.0437932209869636	4.063879085989595	9.475405763139326	0.9432685649472764	0	0	1.0876681110788486	protein_coding	DPYSL4	dihydropyrimidinase like 4 [Source:HGNC Symbol;Acc:HGNC:3016]
ENSG00000168874.13	3.583391258976285	3.283091937059836	1.373606718775725	2.3901251298377506	0.01684263336228456	0.034452958878876914	10.159697714973987	3.79016230525573	5.659611389683659	1.8908761439443347	0	0	protein_coding	ATOH8	atonal bHLH transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:24126]
ENSG00000157423.18	3.5414738111400434	3.214122334377305	1.4122185867150525	2.2759382751459483	0.0228497042338081	0.04523909312030756	3.0479093144921965	13.265568068395055	2.8298056948418293	0	2.105559789111181	0	protein_coding	HYDIN	HYDIN axonemal central pair apparatus protein [Source:HGNC Symbol;Acc:HGNC:19368]
ENSG00000118514.14	13.280267916832743	2.93672726746572	0.661382157664293	4.440288014174637	8.983856204042946e-6	3.209140076751297e-5	21.335365201445374	24.636054984162246	24.524982688629187	3.7817522878886694	1.0527798945555904	4.350672444315395	protein_coding	ALDH8A1	aldehyde dehydrogenase 8 family member A1 [Source:HGNC Symbol;Acc:HGNC:15471]
ENSG00000205085.13	56.572168287984006	2.908782771418447	0.33061578564319966	8.798075886665627	1.3918191037299462e-18	1.6586467415747202e-17	123.94831212268265	85.27865186825393	90.55378223493854	16.072447223526844	10.527798945555904	13.052017332946184	protein_coding	GARIN1A	golgi associated RAB2 interactor 1A [Source:HGNC Symbol;Acc:HGNC:27998]
ENSG00000196990.10	4.046301538669004	2.8058119062726115	1.1699987850967446	2.3981323245909225	0.016478910988347428	0.03378013595076684	7.1117884004817915	8.527865186825393	5.659611389683659	1.8908761439443347	0	1.0876681110788486	protein_coding	FAM163B	family with sequence similarity 163 member B [Source:HGNC Symbol;Acc:HGNC:33277]
ENSG00000145247.12	19.924086702466756	2.663944418629367	0.5242801202432016	5.081147111573912	3.751624289939332e-7	1.5991002463403225e-6	32.51103268791676	28.426217289417977	42.44708542262744	7.563504575777339	3.1583396836667714	5.438340555394244	protein_coding	OCIAD2	OCIA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28685]
ENSG00000265972.6	2382.2083833286583	2.5655090443434756	0.06856185801076671	37.41889614398427	1.926036065388082e-306	9.969162674448712e-303	3767.2159127123546	4226.978510936453	4230.559513788535	629.6617559334634	693.7819505121341	745.0526560890113	protein_coding	TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]
ENSG00000077943.8	7.828794714826419	2.4433372846294805	0.8259247000681111	2.958305138989047	0.003093357480263391	0.007397759888114882	11.175667486471387	13.265568068395055	15.092297039156422	0	5.263899472777952	2.1753362221576973	protein_coding	ITGA8	integrin subunit alpha 8 [Source:HGNC Symbol;Acc:HGNC:6144]
ENSG00000135925.9	7.5270587233496	2.3971631800606032	0.8070435125115035	2.9703022735424494	0.0029750685458361137	0.007135752916240836	15.23954657246098	13.265568068395055	9.432685649472763	1.8908761439443347	3.1583396836667714	2.1753362221576973	protein_coding	WNT10A	Wnt family member 10A [Source:HGNC Symbol;Acc:HGNC:13829]
ENSG00000137261.15	36.431333620332396	2.3886451453313873	0.36985066159055036	6.4584044139842005	1.0581266301282343e-10	6.559213586955928e-10	67.05400491882831	58.74751573146382	57.53938246178386	8.508942647749505	13.686138629222677	13.052017332946184	protein_coding	KIAA0319	KIAA0319 [Source:HGNC Symbol;Acc:HGNC:21580]
ENSG00000167600.14	189.74905306868143	2.3683842870387006	0.1702099114661296	13.914491034266181	5.172683787035641e-44	2.533799174923957e-42	292.59929419125086	348.6949320835272	313.16516356249576	71.85329346988472	61.06123388422425	51.12040122070589	protein_coding	CYP2S1	cytochrome P450 family 2 subfamily S member 1 [Source:HGNC Symbol;Acc:HGNC:15654]
